"itemtype","count(ky)"
"acart",51
"acbk",21615839
"accas",159047
"accd",9448729
"accdrom",2048
"acdisk",153
"acdvd",17296925
"aceq",2530
"aceqnh",1
"acfold",35675
"ackit",962
"acmap",162
"acmus",100683
"acpam",67
"acper",243
"acphoto",1
"acpost",54
"acrec",3856
"acslide",22
"acunkn",4
"acvhs",733800
"acvid",387
"ahbk",504
"ahmfm",1
"alaptop",372
"alvhs",6580
"arbk",10852
"arcas",2
"arcd",203
"arcdrom",10
"ardvd",1
"arkit",5
"armap",5
"armfc",38
"armfm",53
"armus",23
"arper",493
"arrec",2
"arunkn",8
"arvhs",17
"arweb",1
"bcbk",64955
"bccas",4149
"bccd",16935
"bccdrom",491
"bcdvd",24785
"bckit",6152
"bcvhs",3955
"blvhs",330
"dcillb",150364
"dcilll",1
"drtest",58
"jcbk",13866949
"jccas",54671
"jccd",917997
"jccdrom",4874
"jcdvd",3301878
"jckit",94025
"jcmus",1925
"jcrec",10
"jcvhs",242255
"jlvhs",223
"jrbk",274
"jrcd",5
"jrkit",2
"jrmus",2
"jrrec",16
"ucfold",140568
"ucunkn",320
"ucunknj",6676
