"itemtype","count(id)"
"acart",59
"acbk",29025922
"accas",159067
"accd",11571629
"accdrom",2120
"acdisk",153
"acdvd",23089635
"aceq",24507
"aceqnh",1194
"acfold",40585
"ackit",982
"acmap",300
"acmus",128811
"acpam",89
"acper",275
"acphoto",1
"acpost",62
"acrec",5118
"acslide",23
"acunkn",4
"acvhs",733801
"acvid",387
"ahbk",854
"ahmfm",1
"alaptop",18159
"alvhs",6580
"arbk",12259
"arcas",3
"arcd",211
"arcdrom",10
"ardvd",3
"areq",714
"areqnh",89
"arkit",6
"armap",5
"armfc",44
"armfm",54
"armus",23
"arper",514
"arrec",6
"arunkn",8
"arvhs",17
"arweb",1
"atablet",1286
"bcbk",87110
"bccas",4149
"bccd",19399
"bccdrom",491
"bcdvd",28354
"bckit",6263
"bcvhs",3956
"blvhs",330
"dcillb",162835
"dcilll",1
"drtest",58
"jcbk",20586378
"jccas",54688
"jccd",1204238
"jccdrom",4874
"jcdvd",4181948
"jckit",103152
"jcmus",2066
"jcrec",10
"jcvhs",242255
"jlvhs",223
"jrbk",325
"jrcd",5
"jrkit",2
"jrmus",2
"jrrec",16
"pkbknh",200661
"ucfold",190155
"ucunkn",329
"ucunknj",6687
